month,client_company,category,project_name,partner_type,partner_name,duration,price
2026-01,(주)미래유통,IT개발,고객 관리용 CRM 시스템 개발,대형 에이전시,파트너_14,5개월,120000000
2026-01,(주)미래유통,IT개발,고객 관리용 CRM 시스템 개발,스타트업,파트너_47,4개월,60000000
2026-01,(주)이노커브,IT개발,고객 관리용 CRM 시스템 개발,대형 에이전시,파트너_83,5개월,120000000
2026-01,(주)이노커브,IT개발,고객 관리용 CRM 시스템 개발,스타트업,파트너_75,4개월,60000000
2026-01,(주)에이비씨,디자인,브랜드 로고(BI) 및 패키지 디자인,디자인 부티크,파트너_90,1.5개월,18000000
2026-01,(주)에이비씨,디자인,브랜드 로고(BI) 및 패키지 디자인,중소형 파트너,파트너_71,1개월,9000000
2026-01,디지털이노베이션,IT개발,반응형 공식 홈페이지 구축,대형 에이전시,파트너_86,3개월,45000000
2026-01,디지털이노베이션,IT개발,반응형 공식 홈페이지 구축,중소형 파트너,파트너_13,2개월,25000000
2026-01,대전테크노,마케팅,상반기 SNS 퍼포먼스 마케팅,전문 대행사,파트너_72,1개월,15000000
2026-01,대전테크노,마케팅,상반기 SNS 퍼포먼스 마케팅,프리랜서 그룹,파트너_47,1개월,8000000
2026-01,(주)트래블나우,디자인,브랜드 로고(BI) 및 패키지 디자인,디자인 부티크,파트너_14,1.5개월,18000000
2026-01,(주)트래블나우,디자인,브랜드 로고(BI) 및 패키지 디자인,중소형 파트너,파트너_99,1개월,9000000
2026-02,(주)케이비즈,IT개발,고객 관리용 CRM 시스템 개발,대형 에이전시,파트너_16,5개월,120000000
2026-02,(주)케이비즈,IT개발,고객 관리용 CRM 시스템 개발,스타트업,파트너_31,4개월,60000000
2026-02,(주)미래유통,IT개발,반응형 공식 홈페이지 구축,대형 에이전시,파트너_69,3개월,45000000
2026-02,(주)미래유통,IT개발,반응형 공식 홈페이지 구축,중소형 파트너,파트너_96,2개월,25000000
2026-02,대전테크노,마케팅,상반기 SNS 퍼포먼스 마케팅,전문 대행사,파트너_47,1개월,15000000
2026-02,대전테크노,마케팅,상반기 SNS 퍼포먼스 마케팅,프리랜서 그룹,파트너_26,1개월,8000000
2026-02,(주)스타트업X,IT개발,반응형 공식 홈페이지 구축,대형 에이전시,파트너_17,3개월,45000000
2026-02,(주)스타트업X,IT개발,반응형 공식 홈페이지 구축,중소형 파트너,파트너_95,2개월,25000000
2026-02,(주)이노커브,디자인,브랜드 로고(BI) 및 패키지 디자인,디자인 부티크,파트너_81,1.5개월,18000000
2026-02,(주)이노커브,디자인,브랜드 로고(BI) 및 패키지 디자인,중소형 파트너,파트너_77,1개월,9000000
2026-02,뷰티인사이드,디자인,브랜드 로고(BI) 및 패키지 디자인,디자인 부티크,파트너_96,1.5개월,18000000
2026-02,뷰티인사이드,디자인,브랜드 로고(BI) 및 패키지 디자인,중소형 파트너,파트너_45,1개월,9000000
2026-03,뷰티인사이드,마케팅,상반기 SNS 퍼포먼스 마케팅,전문 대행사,파트너_70,1개월,15000000
2026-03,뷰티인사이드,마케팅,상반기 SNS 퍼포먼스 마케팅,프리랜서 그룹,파트너_94,1개월,8000000
2026-03,(주)케이비즈,IT개발,고객 관리용 CRM 시스템 개발,대형 에이전시,파트너_72,5개월,120000000
2026-03,(주)케이비즈,IT개발,고객 관리용 CRM 시스템 개발,스타트업,파트너_41,4개월,60000000
2026-03,디지털이노베이션,IT개발,반응형 공식 홈페이지 구축,대형 에이전시,파트너_59,3개월,45000000
2026-03,디지털이노베이션,IT개발,반응형 공식 홈페이지 구축,중소형 파트너,파트너_90,2개월,25000000
2026-03,(주)에이비씨,IT개발,고객 관리용 CRM 시스템 개발,대형 에이전시,파트너_57,5개월,120000000
2026-03,(주)에이비씨,IT개발,고객 관리용 CRM 시스템 개발,스타트업,파트너_11,4개월,60000000
2026-03,(주)트래블나우,마케팅,상반기 SNS 퍼포먼스 마케팅,전문 대행사,파트너_58,1개월,15000000
2026-03,(주)트래블나우,마케팅,상반기 SNS 퍼포먼스 마케팅,프리랜서 그룹,파트너_81,1개월,8000000
2026-03,금융테크랩,마케팅,상반기 SNS 퍼포먼스 마케팅,전문 대행사,파트너_40,1개월,15000000
2026-03,금융테크랩,마케팅,상반기 SNS 퍼포먼스 마케팅,프리랜서 그룹,파트너_57,1개월,8000000
2026-04,(주)에이비씨,IT개발,반응형 공식 홈페이지 구축,대형 에이전시,파트너_42,3개월,45000000
2026-04,(주)에이비씨,IT개발,반응형 공식 홈페이지 구축,중소형 파트너,파트너_19,2개월,25000000
2026-04,(주)트래블나우,IT개발,반응형 공식 홈페이지 구축,대형 에이전시,파트너_55,3개월,45000000
2026-04,(주)트래블나우,IT개발,반응형 공식 홈페이지 구축,중소형 파트너,파트너_91,2개월,25000000
2026-04,(주)케이비즈,디자인,브랜드 로고(BI) 및 패키지 디자인,디자인 부티크,파트너_86,1.5개월,18000000
2026-04,(주)케이비즈,디자인,브랜드 로고(BI) 및 패키지 디자인,중소형 파트너,파트너_75,1개월,9000000
2026-04,금융테크랩,마케팅,상반기 SNS 퍼포먼스 마케팅,전문 대행사,파트너_99,1개월,15000000
2026-04,금융테크랩,마케팅,상반기 SNS 퍼포먼스 마케팅,프리랜서 그룹,파트너_63,1개월,8000000
2026-04,디지털이노베이션,IT개발,고객 관리용 CRM 시스템 개발,대형 에이전시,파트너_39,5개월,120000000
2026-04,디지털이노베이션,IT개발,고객 관리용 CRM 시스템 개발,스타트업,파트너_11,4개월,60000000
2026-04,(주)스타트업X,IT개발,고객 관리용 CRM 시스템 개발,대형 에이전시,파트너_20,5개월,120000000
2026-04,(주)스타트업X,IT개발,고객 관리용 CRM 시스템 개발,스타트업,파트너_55,4개월,60000000
2026-05,디지털이노베이션,IT개발,반응형 공식 홈페이지 구축,대형 에이전시,파트너_77,3개월,45000000
2026-05,디지털이노베이션,IT개발,반응형 공식 홈페이지 구축,중소형 파트너,파트너_19,2개월,25000000
2026-05,(주)이노커브,IT개발,반응형 공식 홈페이지 구축,대형 에이전시,파트너_83,3개월,45000000
2026-05,(주)이노커브,IT개발,반응형 공식 홈페이지 구축,중소형 파트너,파트너_21,2개월,25000000
2026-05,(주)미래유통,디자인,브랜드 로고(BI) 및 패키지 디자인,디자인 부티크,파트너_36,1.5개월,18000000
2026-05,(주)미래유통,디자인,브랜드 로고(BI) 및 패키지 디자인,중소형 파트너,파트너_14,1개월,9000000
2026-05,(주)케이비즈,디자인,브랜드 로고(BI) 및 패키지 디자인,디자인 부티크,파트너_81,1.5개월,18000000
2026-05,(주)케이비즈,디자인,브랜드 로고(BI) 및 패키지 디자인,중소형 파트너,파트너_36,1개월,9000000
2026-05,(주)스타트업X,마케팅,상반기 SNS 퍼포먼스 마케팅,전문 대행사,파트너_79,1개월,15000000
2026-05,(주)스타트업X,마케팅,상반기 SNS 퍼포먼스 마케팅,프리랜서 그룹,파트너_11,1개월,8000000
2026-05,(주)에이비씨,디자인,브랜드 로고(BI) 및 패키지 디자인,디자인 부티크,파트너_40,1.5개월,18000000
2026-05,(주)에이비씨,디자인,브랜드 로고(BI) 및 패키지 디자인,중소형 파트너,파트너_62,1개월,9000000
