날짜,부서,카테고리,공급업체,금액,결재자,비고
2025-01-06,인사팀,사무용품,A문구사,320000,김팀장,
2025-01-07,마케팅팀,인쇄/출력,B프린팅,780000,이팀장,제품카탈로그
2025-01-08,IT팀,IT장비,C전자,2400000,박팀장,모니터2대
2025-01-09,재무팀,사무용품,A문구사,190000,최팀장,
2025-01-10,인사팀,청소용역,D클린,1500000,김팀장,월정계약
2025-01-13,마케팅팀,광고/마케팅,E에이전시,3200000,이팀장,SNS광고
2025-01-14,IT팀,소프트웨어,F소프트,1200000,박팀장,연간라이선스
2025-01-15,총무팀,시설관리,G시설,850000,정팀장,에어컨점검
2025-01-16,재무팀,사무용품,A문구사,220000,최팀장,
2025-01-17,인사팀,교육/연수,H교육원,2800000,김팀장,신입사원교육
2025-01-20,마케팅팀,사무용품,A문구사,280000,이팀장,
2025-01-21,IT팀,IT장비,C전자,1800000,박팀장,키보드마우스세트
2025-01-22,총무팀,청소용역,D클린,1500000,정팀장,월정계약
2025-01-23,재무팀,인쇄/출력,B프린팅,450000,최팀장,세금계산서인쇄
2025-01-24,인사팀,사무용품,I문구마트,310000,김팀장,
2025-02-03,마케팅팀,광고/마케팅,E에이전시,2800000,이팀장,
2025-02-04,IT팀,IT장비,C전자,3600000,박팀장,노트북1대
2025-02-05,총무팀,시설관리,G시설,620000,정팀장,
2025-02-06,재무팀,사무용품,A문구사,180000,최팀장,
2025-02-07,인사팀,청소용역,D클린,1500000,김팀장,월정계약
2025-02-10,마케팅팀,사무용품,A문구사,350000,이팀장,
2025-02-11,IT팀,소프트웨어,J클라우드,980000,박팀장,AWS비용
2025-02-12,총무팀,사무용품,I문구마트,290000,정팀장,
2025-02-13,재무팀,인쇄/출력,B프린팅,560000,최팀장,
2025-02-14,인사팀,교육/연수,H교육원,1900000,김팀장,
2025-02-17,마케팅팀,인쇄/출력,K인쇄소,420000,이팀장,
2025-02-18,IT팀,IT장비,C전자,4200000,박팀장,서버장비
2025-02-19,총무팀,청소용역,D클린,1500000,정팀장,월정계약
2025-02-20,재무팀,사무용품,A문구사,240000,최팀장,
2025-02-21,인사팀,사무용품,A문구사,195000,김팀장,
2025-02-24,마케팅팀,광고/마케팅,E에이전시,4100000,이팀장,전시회준비
2025-02-25,IT팀,소프트웨어,F소프트,650000,박팀장,
2025-02-26,총무팀,시설관리,G시설,1200000,정팀장,소방점검
2025-02-27,재무팀,인쇄/출력,B프린팅,380000,최팀장,
2025-02-28,인사팀,청소용역,D클린,1500000,김팀장,월정계약
2025-03-03,마케팅팀,사무용품,A문구사,310000,이팀장,
2025-03-04,IT팀,IT장비,L전산,2900000,박팀장,웹캠헤드셋세트
2025-03-05,총무팀,사무용품,I문구마트,270000,정팀장,
2025-03-06,재무팀,소프트웨어,J클라우드,1100000,최팀장,
2025-03-07,인사팀,교육/연수,H교육원,3500000,김팀장,리더십과정
2025-03-10,마케팅팀,광고/마케팅,E에이전시,3600000,이팀장,
2025-03-11,IT팀,소프트웨어,F소프트,1200000,박팀장,연간갱신
2025-03-12,총무팀,청소용역,D클린,1500000,정팀장,월정계약
2025-03-13,재무팀,사무용품,A문구사,210000,최팀장,
2025-03-14,인사팀,사무용품,A문구사,180000,김팀장,
2025-03-17,마케팅팀,인쇄/출력,B프린팅,690000,이팀장,제안서인쇄
2025-03-18,IT팀,IT장비,C전자,3200000,박팀장,
2025-03-19,총무팀,시설관리,G시설,750000,정팀장,
2025-03-20,재무팀,인쇄/출력,K인쇄소,340000,최팀장,
2025-03-21,인사팀,청소용역,D클린,1500000,김팀장,월정계약
2025-03-24,마케팅팀,사무용품,I문구마트,295000,이팀장,
2025-03-25,IT팀,소프트웨어,J클라우드,1050000,박팀장,
2025-03-26,총무팀,사무용품,A문구사,230000,정팀장,
2025-03-27,재무팀,교육/연수,H교육원,1600000,최팀장,회계세미나
2025-03-28,인사팀,사무용품,A문구사,165000,김팀장,
