month,company_name,category,item,spec,channel,price_source,quantity,price
2026-01,(주)에이비씨,생활탕비,맥심 모카골드,180T x 2박스,일반유통채널,시중평균가,5,42000
2026-01,(주)에이비씨,생활탕비,맥심 모카골드,180T x 2박스,업무마켓9,캐스팅엔제휴가,5,36000
2026-01,(주)스타트업X,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,일반유통채널,시중평균가,11,210000
2026-01,(주)스타트업X,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,업무마켓9,캐스팅엔제휴가,11,175000
2026-01,(주)케이비즈,사무용품,복사용지 A4 80g,1Box(2500매),일반유통채널,시중평균가,8,32000
2026-01,(주)케이비즈,사무용품,복사용지 A4 80g,1Box(2500매),업무마켓9,캐스팅엔제휴가,8,24500
2026-01,디지털이노베이션,사무용품,복사용지 A4 80g,1Box(2500매),일반유통채널,시중평균가,14,32000
2026-01,디지털이노베이션,사무용품,복사용지 A4 80g,1Box(2500매),업무마켓9,캐스팅엔제휴가,14,24500
2026-01,(주)미래유통,사무용품,복사용지 A4 80g,1Box(2500매),일반유통채널,시중평균가,12,32000
2026-01,(주)미래유통,사무용품,복사용지 A4 80g,1Box(2500매),업무마켓9,캐스팅엔제휴가,12,24500
2026-01,금융테크랩,IT자산,사무용 모니터 27인치,4K UHD IPS,일반유통채널,시중평균가,2,450000
2026-01,금융테크랩,IT자산,사무용 모니터 27인치,4K UHD IPS,업무마켓9,캐스팅엔제휴가,2,380000
2026-01,(주)트래블나우,IT자산,사무용 모니터 27인치,4K UHD IPS,일반유통채널,시중평균가,13,450000
2026-01,(주)트래블나우,IT자산,사무용 모니터 27인치,4K UHD IPS,업무마켓9,캐스팅엔제휴가,13,380000
2026-01,뷰티인사이드,사무용품,복사용지 A4 80g,1Box(2500매),일반유통채널,시중평균가,10,32000
2026-01,뷰티인사이드,사무용품,복사용지 A4 80g,1Box(2500매),업무마켓9,캐스팅엔제휴가,10,24500
