날짜,부서,카테고리,공급업체,금액,결재자,비고
2025-01-06,인사팀,사무용품,A문구사,320000,김팀장,
2025-01-06,마케팅팀,사무용품,B문구마트,290000,이대리,← 같은날 같은카테고리 분산발주
2025-01-06,IT팀,사무용품,C오피스,310000,박과장,← 같은날 세부서 각자 발주 통합기회
2025-01-07,마케팅팀,인쇄/출력,D프린팅,780000,이팀장,
2025-01-08,IT팀,IT장비,E전자,4950000,박팀장,← 결재한도 500만원 직전 쪼개기 의심
2025-01-09,IT팀,IT장비,E전자,4980000,박팀장,← 이틀 연속 한도직전 금액
2025-01-10,인사팀,청소용역,F클린,1500000,김팀장,월정계약
2025-01-13,마케팅팀,광고/마케팅,G에이전시,3200000,이팀장,
2025-01-14,총무팀,시설관리,H시설,850000,정팀장,
2025-01-15,재무팀,사무용품,A문구사,210000,최팀장,
2025-01-15,인사팀,사무용품,A문구사,185000,김팀장,
2025-01-15,마케팅팀,사무용품,B문구마트,265000,이대리,← 또 분산발주
2025-01-20,IT팀,IT장비,E전자,4920000,박팀장,← 한도직전 3번째
2025-01-21,총무팀,청소용역,F클린,1500000,정팀장,월정계약
2025-01-22,재무팀,인쇄/출력,D프린팅,450000,최팀장,
2025-01-24,인사팀,사무용품,I문구마트,310000,김팀장,
2025-01-27,마케팅팀,광고/마케팅,G에이전시,4800000,이팀장,← 월말 집중 시작
2025-01-28,IT팀,소프트웨어,J소프트,3200000,박팀장,← 월말 집중
2025-01-29,총무팀,시설관리,H시설,2100000,정팀장,← 월말 집중
2025-01-30,재무팀,사무용품,K마트,890000,최팀장,← 월말 집중 예산소진
2025-01-31,인사팀,교육/연수,L교육원,2800000,김팀장,← 월말 집중 예산소진
2025-02-03,마케팅팀,광고/마케팅,G에이전시,2800000,이팀장,
2025-02-04,IT팀,IT장비,E전자,3600000,박팀장,
2025-02-05,총무팀,시설관리,H시설,620000,정팀장,
2025-02-06,재무팀,사무용품,A문구사,180000,최팀장,
2025-02-07,인사팀,청소용역,F클린,1500000,김팀장,월정계약
2025-02-10,마케팅팀,사무용품,A문구사,350000,이팀장,
2025-02-11,인사팀,IT장비,M특수업체,8900000,김팀장,← 인사팀이 IT장비? 업체도 생소
2025-02-12,총무팀,사무용품,I문구마트,290000,정팀장,
2025-02-13,재무팀,인쇄/출력,D프린팅,560000,최팀장,
2025-02-14,인사팀,교육/연수,L교육원,1900000,김팀장,
2025-02-17,마케팅팀,인쇄/출력,N인쇄소,420000,이팀장,
2025-02-18,IT팀,IT장비,E전자,4200000,박팀장,
2025-02-19,총무팀,청소용역,F클린,1500000,정팀장,월정계약
2025-02-20,재무팀,사무용품,A문구사,240000,최팀장,
2025-02-21,인사팀,사무용품,A문구사,195000,김팀장,
2025-02-24,마케팅팀,광고/마케팅,G에이전시,4100000,이팀장,
2025-02-25,IT팀,소프트웨어,J소프트,650000,박팀장,
2025-02-26,총무팀,시설관리,H시설,1200000,정팀장,
2025-02-25,마케팅팀,광고/마케팅,G에이전시,3900000,이팀장,← 월말 2일전 집중
2025-02-26,IT팀,IT장비,E전자,4850000,박팀장,← 월말 한도직전
2025-02-27,재무팀,인쇄/출력,D프린팅,380000,최팀장,
2025-02-27,총무팀,사무용품,K마트,1100000,정팀장,← 월말 예산소진
2025-02-28,인사팀,청소용역,F클린,1500000,김팀장,월정계약
2025-02-28,마케팅팀,광고/마케팅,G에이전시,2200000,이팀장,← 2월 G에이전시 총 4건 단일업체반복
2025-03-03,마케팅팀,사무용품,A문구사,310000,이팀장,
2025-03-04,IT팀,사무용품,B문구마트,280000,박과장,
2025-03-04,재무팀,사무용품,C오피스,255000,최팀장,← 또 분산발주
2025-03-05,총무팀,사무용품,I문구마트,270000,정팀장,
2025-03-06,재무팀,소프트웨어,J소프트,1100000,최팀장,
2025-03-07,인사팀,교육/연수,L교육원,3500000,김팀장,
2025-03-10,마케팅팀,광고/마케팅,G에이전시,3600000,이팀장,
2025-03-11,IT팀,소프트웨어,J소프트,1200000,박팀장,
2025-03-12,총무팀,청소용역,F클린,1500000,정팀장,월정계약
2025-03-13,재무팀,사무용품,A문구사,210000,최팀장,
2025-03-17,마케팅팀,인쇄/출력,D프린팅,690000,이팀장,
2025-03-18,IT팀,IT장비,E전자,4970000,박팀장,← 한도직전 또 등장
2025-03-19,총무팀,시설관리,H시설,750000,정팀장,
2025-03-24,인사팀,IT장비,M특수업체,12500000,김팀장,← M업체 2월에 이어 3월도 고액 수의계약
2025-03-25,IT팀,소프트웨어,J소프트,1050000,박팀장,
2025-03-26,총무팀,사무용품,A문구사,230000,정팀장,
2025-03-27,재무팀,교육/연수,L교육원,1600000,최팀장,
2025-03-27,마케팅팀,광고/마케팅,G에이전시,5100000,이팀장,← 월말 대형 단건
2025-03-28,IT팀,IT장비,E전자,4890000,박팀장,← 월말 한도직전
2025-03-29,총무팀,시설관리,H시설,3200000,정팀장,← 월말 예산소진
2025-03-31,재무팀,사무용품,K마트,1450000,최팀장,← 월말 마지막날 소진
2025-03-31,인사팀,교육/연수,L교육원,2200000,김팀장,← 월말 마지막날
